Instancia;Algoritmo;MelhorSolucao;MediaSolucoes;TempoMedio
resultadosOrdem40.csv;Guloso;19;19;0.000462653
resultadosOrdem40.csv;Randomizado_0.2;18;19;0.0147129
resultadosOrdem40.csv;Randomizado_0.3;18;19.2;0.0151128
resultadosOrdem40.csv;Randomizado_0.4;19;20.1;0.0148184
resultadosOrdem40.csv;Reativo;18;18.3;0.15075
resultadosOrdem40.csv;Guloso;21;21;0.000480789
resultadosOrdem40.csv;Randomizado_0.2;19;19.7;0.014956
resultadosOrdem40.csv;Randomizado_0.3;19;20.3;0.0147287
resultadosOrdem40.csv;Randomizado_0.4;20;21.1;0.0149781
resultadosOrdem40.csv;Reativo;18;19.2;0.148771
resultadosOrdem40.csv;Guloso;15;15;0.000679176
resultadosOrdem40.csv;Randomizado_0.2;14;14.5;0.0198475
resultadosOrdem40.csv;Randomizado_0.3;14;14.8;0.0198254
resultadosOrdem40.csv;Randomizado_0.4;14;15.2;0.0196646
resultadosOrdem40.csv;Reativo;13;13.8;0.199207
resultadosOrdem40.csv;Guloso;16;16;0.000650114
resultadosOrdem40.csv;Randomizado_0.2;14;14.5;0.0197136
resultadosOrdem40.csv;Randomizado_0.3;14;15.1;0.0195796
resultadosOrdem40.csv;Randomizado_0.4;15;16;0.0207682
resultadosOrdem40.csv;Reativo;14;14.3;0.48955
resultadosOrdem40.csv;Guloso;12;12;0.000727268
resultadosOrdem40.csv;Randomizado_0.2;11;11.9;0.0231719
resultadosOrdem40.csv;Randomizado_0.3;12;12.1;0.0239434
resultadosOrdem40.csv;Randomizado_0.4;12;12.4;0.0241066
resultadosOrdem40.csv;Reativo;10;11.1;0.233386
resultadosOrdem40.csv;Guloso;11;11;0.000830727
resultadosOrdem40.csv;Randomizado_0.2;11;11.7;0.022699
resultadosOrdem40.csv;Randomizado_0.3;12;12.6;0.0227984
resultadosOrdem40.csv;Randomizado_0.4;12;13.1;0.0234702
resultadosOrdem40.csv;Reativo;11;11.3;0.524886
